Borough,Latitude,Longitude
Atgāzene,56.91727466,24.07453804
Avoti (arī Avotu iela),56.95246709,24.14085422
Āgenskalns,56.9333296,24.0666664
Beberbeķi,56.95,23.95
Berģi,56.9833294,24.2999988
Bieriņi,56.919722,24.058611
Bišumuiža,56.9097,24.1361
Bolderāja,57.0333332,24.0499998
Brasa,56.97310944,24.14111944
Brekši,56.966363,24.303979
Bukulti,57,24.267
Centrs,56.946285,24.105078
Čiekurkalns,56.9833294,24.166666
Daugavgrīva,57.045119,24.0392876
Dārzciems,56.9445471,24.1770087
Dārziņi,56.864722,24.275278
Dreiliņi,56.944,24.246
Dzirciems,56.9559991,24.0527053
Grīziņkalns,56.8666632,25.9499962
Iļģuciems,56.9666628,24.0666664
Imanta,56.9499962,24
Jaunciems,57.041667,24.177778
Jugla,56.986,24.243
Katlakalns,56.883333,24.183333
Kleisti,56.995,24.010278
Kundziņsala,57.166666,24.0999996
Ķengarags,56.92158,24.1817301
Ķīpsala,56.951082,24.08409
Mangaļsala,57.0499998,24.0666664
Maskavas forštate,56.9331918,24.144805
Mežaparks,57,24.166666
Mežciems,57.108,24.202
Mīlgrāvis,57.033333,24.1
Mūkupurvs,56.9383,23.9808
Pētersala-Andrejsala,56.966667,24.083333
Pleskodāle,56.9325,24.0364
Pļavnieki,56.94,24.207778
Purvciems,56.9499962,24.166666
Rītabuļļi (arī Buļļi),57.012222,23.956667
Rumbula,56.9,24.3
Salas,56.9264,24.1211
Sarkandaugava,56.9978,24.1206
Skanste,56.9703,24.1183
Spilve,56.9961,24.0653
Suži,57.016667,24.216667
Šampēteris,56.9419,24.0397
Šķirotava,56.9175,24.206944
Teika,56.97,24.18
Torņakalns,56.9333296,24.083333
Trīsciems,57.05,24.133333
Vecāķi,57.0666664,24.0999996
Vecdaugava,57.0499998,24.0999996
Vecmīlgrāvis,57.0333332,24.0999996
Vecpilsēta (arī Vecrīga),56.954167,24.116667
Voleri,57.0131,24.0803
Zasulauks,56.93816291,24.0509998
Ziepniekkalns,56.95,24
Zolitūde,56.946944,24.010972